Player,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Player-additional,Rnd,Pick,Tm,Pos,Age,To,1st_Team_AllPro,Pro_Bowl,Years_As_Starter,Weighted_Aprox_Value,DrAV,G,Pass_Completed,Pass_Attempts,Pass_Yards,Pass_TDs,Interceptions_Thrown,Rush_Attempts,Rush_Yards,Rush_TDs,Receptions,Receiving_Yards,Receiving_Touchdowns,Solo_Tackles,Interceptions,Sack,-9999
David Bell,6-1,212.0,4.65,33.0,,118.0,7.14,4.57,BellDa02,3.0,99.0,CLE,WR,21.0,2022.0,0.0,0.0,0.0,2.0,2.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,214.0,0.0,1.0,,,BellDa02
Daniel Bellinger,6-5,253.0,4.63,34.5,22.0,125.0,7.05,4.47,BellDa00,4.0,112.0,NYG,TE,21.0,2022.0,0.0,0.0,1.0,3.0,3.0,12.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,30.0,268.0,2.0,,,,BellDa00
Dane Belton,6-1,205.0,4.43,36.5,16.666666666666668,123.0,7.01,4.24,BeltDa00,4.0,114.0,NYG,DB,21.0,2022.0,0.0,0.0,0.0,3.0,3.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,2.0,,BeltDa00
Terrel Bernard,6-1,224.0,4.563529411764705,35.5,22.0,123.0,7.03,4.25,BernTe00,3.0,89.0,BUF,LB,23.0,2022.0,0.0,0.0,0.0,2.0,2.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,,,BernTe00
Nik Bonitto,6-3,248.0,4.54,35.5,,120.0,7.07,4.23,BoniNi00,2.0,64.0,DEN,OLB,22.0,2022.0,0.0,0.0,0.0,2.0,2.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,,1.5,BoniNi00
Thomas Booker,6-3,301.0,4.94,34.34615384615385,22.0,110.0,7.33,4.41,BookTh00,5.0,150.0,HOU,DE,22.0,2022.0,0.0,0.0,0.0,1.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,,0.5,BookTh00
Andrew Booth,6-0,194.0,4.427272727272728,37.5,17.0,121.0,,,BootAn00,2.0,42.0,MIN,CB,21.0,2022.0,0.0,0.0,0.0,1.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,,,BootAn00
Jaquan Brisker,6-1,199.0,4.49,34.5,22.0,124.0,6.760000000000001,4.260000000000001,BrisJa01,2.0,48.0,CHI,S,23.0,2022.0,0.0,0.0,1.0,4.0,4.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,1.0,4.0,BrisJa01
Montaric Brown,6-0,196.0,4.55,36.55,16.666666666666668,127.44444444444444,6.686666666666667,4.08,BrowMo00,7.0,222.0,JAX,DB,23.0,2022.0,0.0,0.0,0.0,1.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,,,BrowMo00
Logan Bruss,6-5,309.0,5.32,31.0,26.3,112.0,7.57,4.55,BrusLo00,3.0,104.0,LAR,OL,22.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,BrusLo00
