Player,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Player-additional,Rnd,Pick,Tm,Pos,Age,To,1st_Team_AllPro,Pro_Bowl,Years_As_Starter,Weighted_Aprox_Value,DrAV,G,Pass_Completed,Pass_Attempts,Pass_Yards,Pass_TDs,Interceptions_Thrown,Rush_Attempts,Rush_Yards,Rush_TDs,Receptions,Receiving_Yards,Receiving_Touchdowns,Solo_Tackles,Interceptions,Sack,-9999
Chris Lindstrom,4-Jun,308,4.91,30.5,25,117,7.61,4.54,LindCh00,1,14,ATL,G,22,2022,0,1,3,26,26,55,0,0,0,0,0,0,0,0,0,0,0,2,,,LindCh00
Greg Little,5-Jun,310,5.33,25,24.6,113,7.837142857,4.74,LittGr01,2,37,CAR,T,21,2022,0,0,0,8,3,31,0,0,0,0,0,0,0,0,0,0,0,1,,,LittGr01
Drew Lock,4-Jun,228,4.69,31,,112,7.03,4.12,LockDr00,2,42,DEN,QB,22,2021,0,0,1,12,12,24,421,710,4740,25,20,72,285,5,1,1,0,1,,,LockDr00
David Long,11-May,196,4.45,39.5,15,120,6.45,3.97,LongDa02,3,79,LAR,CB,21,2022,0,0,0,6,6,52,0,0,0,0,0,0,0,0,0,0,0,67,1,,LongDa02
David Long,11-May,196,4.45,39.5,15,120,6.45,3.97,LongDa02,6,188,TEN,LB,22,2022,0,0,1,14,14,50,0,0,0,0,0,0,0,0,0,0,0,137,4,,LongDa04
Bryce Love,9-May,200,4.524375,35.0326087,18,121.4186047,7.099032258,4.282903226,LoveBr00,4,112,WAS,RB,22,,0,0,0,,,,,,,,,,,,,,,,,,LoveBr00
Julian Love,11-May,195,4.54,36,14,121,6.72,4.1,LoveJu00,4,108,NYG,CB,21,2022,0,0,1,13,13,64,0,0,0,0,0,0,0,0,0,0,0,192,5,1.5,LoveJu00
Daylon Mack,1-Jun,336,5.1,27,30,102,8.02,4.95,MackDa00,5,160,BAL,DT,22,2019,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,MackDa00
Alexander Mattison,11-May,221,4.67,35,22,127,7.13,4.29,MattAl01,3,102,MIN,RB,21,2022,0,0,0,14,14,59,0,0,0,0,0,404,1670,11,70,526,3,,,,MattAl01
Erik McCoy,4-Jun,303,4.89,31,29,107,8.28,4.62,McCoEr01,2,48,NOR,C,22,2022,0,0,4,24,24,57,0,0,0,0,0,0,0,0,0,0,0,1,,,McCoEr01
